	Āshvalāyana-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	ashvalayana_grihya_sutra
	Khādira-gṛihya-sūtra (Drāhyāyaṇa)	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	drahyayana_grihya_sutra
	Kāthaka-gṛihya-sūtra (Laugākshi)	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	kathaka_grihya_sutram
	Kaushītaka-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	kaushitaka_grihya_sutram
	Mānava-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	manava_grihya_sutram
	Pāraskara-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	paraskara_grihya_sutram
	Baudhāyana-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	bodhayana_grihya_sutram
	Kaushika-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	kaushika_grihya_sutram
	Hiraṇyakeshi-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	hiranyakeshi_grihya_sutram
	Vārāha-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	varaha_grihya_sutram
	Gobhila-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	gobhila_grihya_sutram
	Āgniveshya-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	agniveshya_grihya_sutram
	Shāṅkayana-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	shankhayana_grihya_sutram
	Vādhūla-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	grihya_sutram
	Jaimini-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	jaimini_grihya_sutram
	Bhāradvāja-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	bharadvaja_grihya_sutram
	Āpastamba-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	apastamba_grihya_sutram
	Vaikhānasa-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	vaikhanasa_grihya_sutram
	Kauthuma-gṛihya-sūtra	Grihya Sutra			Samskrit	Sruti/Vedangas/Kalpa/Grihya Sutra	Devanagari	kauthuma_grihya_sutram
